site,lat,long,year,month,vpdmax
BM,36.06,-118.39,1937,5,12.8680000305176
BM,36.06,-118.39,1937,6,14.0719995498657
BM,36.06,-118.39,1937,7,19.2250003814697
BM,36.06,-118.39,1937,8,20.431999206543
BM,36.06,-118.39,1937,9,15.6969995498657
BM,36.06,-118.39,1937,10,11.6979999542236
BM,36.06,-118.39,1937,11,9.59200000762939
BM,36.06,-118.39,1937,12,7.98799991607666
BM,36.06,-118.39,1938,1,7.36600017547607
BM,36.06,-118.39,1938,2,4.05100011825562
BM,36.06,-118.39,1938,3,4.71700000762939
BM,36.06,-118.39,1938,4,6.63700008392334
BM,36.06,-118.39,1938,5,9.21000003814697
BM,36.06,-118.39,1938,6,16.3560009002686
BM,36.06,-118.39,1938,7,17.9230003356934
BM,36.06,-118.39,1938,8,18.8470001220703
BM,36.06,-118.39,1938,9,16.5049991607666
BM,36.06,-118.39,1938,10,9.26200008392334
BM,36.06,-118.39,1938,11,8.75699996948242
BM,36.06,-118.39,1938,12,7.76300001144409
BM,36.06,-118.39,1939,1,6.4060001373291
BM,36.06,-118.39,1939,2,4.42700004577637
BM,36.06,-118.39,1939,3,7.30999994277954
BM,36.06,-118.39,1939,4,10.03600025177
BM,36.06,-118.39,1939,5,10.923999786377
BM,36.06,-118.39,1939,6,16.5310001373291
BM,36.06,-118.39,1939,7,18.30299949646
BM,36.06,-118.39,1939,8,21.6550006866455
BM,36.06,-118.39,1939,9,13.3090000152588
BM,36.06,-118.39,1939,10,10.91100025177
BM,36.06,-118.39,1939,11,11.6239995956421
BM,36.06,-118.39,1939,12,9.625
BM,36.06,-118.39,1940,1,5.82200002670288
BM,36.06,-118.39,1940,2,4.79199981689453
BM,36.06,-118.39,1940,3,7.32999992370605
BM,36.06,-118.39,1940,4,7.26700019836426
BM,36.06,-118.39,1940,5,13.3970003128052
BM,36.06,-118.39,1940,6,19.6100006103516
BM,36.06,-118.39,1940,7,17.8090000152588
BM,36.06,-118.39,1940,8,21.1380004882812
BM,36.06,-118.39,1940,9,11.673999786377
BM,36.06,-118.39,1940,10,10.5600004196167
BM,36.06,-118.39,1940,11,8.34500026702881
BM,36.06,-118.39,1940,12,6.83400011062622
BM,36.06,-118.39,1942,1,5.39699983596802
BM,36.06,-118.39,1942,2,3.09200000762939
BM,36.06,-118.39,1942,3,6.14099979400635
BM,36.06,-118.39,1942,4,5.5019998550415
BM,36.06,-118.39,1942,5,8.96700000762939
BM,36.06,-118.39,1942,6,13.6850004196167
BM,36.06,-118.39,1942,7,19.2320003509521
BM,36.06,-118.39,1942,8,18.431999206543
BM,36.06,-118.39,1942,9,13.9870004653931
BM,36.06,-118.39,1942,10,10.6680002212524
BM,36.06,-118.39,1942,11,8.82100009918213
BM,36.06,-118.39,1942,12,7.00400018692017
BM,36.06,-118.39,1944,1,5.88000011444092
BM,36.06,-118.39,1944,2,4.39599990844727
BM,36.06,-118.39,1944,3,7.67399978637695
BM,36.06,-118.39,1944,4,6.55299997329712
BM,36.06,-118.39,1944,5,10.6479997634888
BM,36.06,-118.39,1944,6,11.2049999237061
BM,36.06,-118.39,1944,7,17.6009998321533
BM,36.06,-118.39,1944,8,21.3500003814697
BM,36.06,-118.39,1944,9,17.4699993133545
BM,36.06,-118.39,1944,10,9.16600036621094
BM,36.06,-118.39,1944,11,4.48299980163574
BM,36.06,-118.39,1944,12,4.32000017166138
BM,36.06,-118.39,1945,1,5.96000003814697
BM,36.06,-118.39,1945,2,2.67000007629395
BM,36.06,-118.39,1945,3,3.51500010490417
BM,36.06,-118.39,1945,4,8.35799980163574
BM,36.06,-118.39,1945,5,8.82299995422363
BM,36.06,-118.39,1945,6,14.4289999008179
BM,36.06,-118.39,1945,7,19.181999206543
BM,36.06,-118.39,1945,8,16.7759990692139
BM,36.06,-118.39,1945,9,12.5380001068115
BM,36.06,-118.39,1945,10,8.39000034332275
BM,36.06,-118.39,1945,11,5.55900001525879
BM,36.06,-118.39,1945,12,3.65599989891052
BM,36.06,-118.39,1946,1,5.38199996948242
BM,36.06,-118.39,1946,2,4.77400016784668
BM,36.06,-118.39,1946,3,5.9210000038147
BM,36.06,-118.39,1946,4,9.61499977111816
BM,36.06,-118.39,1946,5,9.44200038909912
BM,36.06,-118.39,1946,6,14.5839996337891
BM,36.06,-118.39,1946,7,16.3619995117188
BM,36.06,-118.39,1946,8,19.5709991455078
BM,36.06,-118.39,1946,9,14.8249998092651
BM,36.06,-118.39,1946,10,8.19600009918213
BM,36.06,-118.39,1946,11,5.30000019073486
BM,36.06,-118.39,1946,12,4.74900007247925
BM,36.06,-118.39,1949,1,3.23300004005432
BM,36.06,-118.39,1949,2,3.75
BM,36.06,-118.39,1949,3,4.25
BM,36.06,-118.39,1949,4,9.12199974060059
BM,36.06,-118.39,1949,5,8.04500007629395
BM,36.06,-118.39,1949,6,14.6709995269775
BM,36.06,-118.39,1949,7,16.5219993591309
BM,36.06,-118.39,1949,8,17.0370006561279
BM,36.06,-118.39,1949,9,15.4029998779297
BM,36.06,-118.39,1949,10,10.3109998703003
BM,36.06,-118.39,1949,11,9.96500015258789
BM,36.06,-118.39,1949,12,5.23600006103516
BM,36.06,-118.39,1952,1,3.96499991416931
BM,36.06,-118.39,1952,2,4.69999980926514
BM,36.06,-118.39,1952,3,4.17600011825562
BM,36.06,-118.39,1952,4,6.83599996566772
BM,36.06,-118.39,1952,5,11.8159999847412
BM,36.06,-118.39,1952,6,12.2950000762939
BM,36.06,-118.39,1952,7,15.71399974823
BM,36.06,-118.39,1952,8,18.7679996490479
BM,36.06,-118.39,1952,9,14.914999961853
BM,36.06,-118.39,1952,10,14.9479999542236
BM,36.06,-118.39,1952,11,5.6710000038147
BM,36.06,-118.39,1952,12,4.52799987792969
BM,36.06,-118.39,1954,1,5.35699987411499
BM,36.06,-118.39,1954,2,9.38399982452393
BM,36.06,-118.39,1954,3,5.29500007629395
BM,36.06,-118.39,1954,4,9.27700042724609
BM,36.06,-118.39,1954,5,13.6560001373291
BM,36.06,-118.39,1954,6,13.3590002059937
BM,36.06,-118.39,1954,7,17.7950000762939
BM,36.06,-118.39,1954,8,17.2880001068115
BM,36.06,-118.39,1954,9,16.5779991149902
