site,lat,long,year,month,ppt
BM,36.06,-118.39,1925,9,0
BM,36.06,-118.39,1925,10,33.4459991455078
BM,36.06,-118.39,1925,11,28.4810009002686
BM,36.06,-118.39,1925,12,54.8359985351562
BM,36.06,-118.39,1926,1,80.8740005493164
BM,36.06,-118.39,1926,2,164.363998413086
BM,36.06,-118.39,1926,3,32.2750015258789
BM,36.06,-118.39,1926,4,143.095001220703
BM,36.06,-118.39,1926,5,15.706000328064
BM,36.06,-118.39,1926,6,0
BM,36.06,-118.39,1926,7,9.38199996948242
BM,36.06,-118.39,1926,8,0
BM,36.06,-118.39,1926,9,0
BM,36.06,-118.39,1926,10,5.49100017547607
BM,36.06,-118.39,1926,11,220.940002441406
BM,36.06,-118.39,1926,12,47.265998840332
BM,36.06,-118.39,1927,1,103.046997070312
BM,36.06,-118.39,1927,2,238.998001098633
BM,36.06,-118.39,1927,3,87.4800033569336
BM,36.06,-118.39,1927,4,70.7990036010742
BM,36.06,-118.39,1927,5,22.6639995574951
BM,36.06,-118.39,1927,6,4.93200016021729
BM,36.06,-118.39,1927,7,0
BM,36.06,-118.39,1927,8,0
BM,36.06,-118.39,1927,9,0.00300000002607703
BM,36.06,-118.39,1927,10,67.3259963989258
BM,36.06,-118.39,1927,11,90.9720001220703
BM,36.06,-118.39,1927,12,83.1050033569336
BM,36.06,-118.39,1928,1,44.8349990844727
BM,36.06,-118.39,1928,2,64.947998046875
BM,36.06,-118.39,1928,3,173.666000366211
BM,36.06,-118.39,1928,4,44.6319999694824
BM,36.06,-118.39,1928,5,18.7940006256104
BM,36.06,-118.39,1928,6,0
BM,36.06,-118.39,1928,7,0
BM,36.06,-118.39,1928,8,0
BM,36.06,-118.39,1928,9,0
BM,36.06,-118.39,1928,10,0.068000003695488
BM,36.06,-118.39,1928,11,86.0120010375977
BM,36.06,-118.39,1928,12,92.8960037231445
BM,36.06,-118.39,1929,1,59.9140014648438
BM,36.06,-118.39,1929,2,66.056999206543
BM,36.06,-118.39,1929,3,130.559997558594
BM,36.06,-118.39,1929,4,82.6259994506836
BM,36.06,-118.39,1929,5,0
BM,36.06,-118.39,1929,6,53.8040008544922
BM,36.06,-118.39,1929,7,0
BM,36.06,-118.39,1929,8,0
BM,36.06,-118.39,1929,9,6.45300006866455
BM,36.06,-118.39,1929,10,0
BM,36.06,-118.39,1929,11,0
BM,36.06,-118.39,1929,12,31.7059993743896
BM,36.06,-118.39,1932,1,149.20100402832
BM,36.06,-118.39,1932,2,181.283004760742
BM,36.06,-118.39,1932,3,36.9980010986328
BM,36.06,-118.39,1932,4,49.609001159668
BM,36.06,-118.39,1932,5,58.4169998168945
BM,36.06,-118.39,1932,6,1.50999999046326
BM,36.06,-118.39,1932,7,0.090999998152256
BM,36.06,-118.39,1932,8,0
BM,36.06,-118.39,1932,9,8.48200035095215
BM,36.06,-118.39,1932,10,2.41499996185303
BM,36.06,-118.39,1932,11,11.4340000152588
BM,36.06,-118.39,1932,12,76.6259994506836
BM,36.06,-118.39,1933,1,280.489013671875
BM,36.06,-118.39,1933,2,25.7259998321533
BM,36.06,-118.39,1933,3,83.5559997558594
BM,36.06,-118.39,1933,4,19.8490009307861
BM,36.06,-118.39,1933,5,79.3519973754883
BM,36.06,-118.39,1933,6,10.5369997024536
BM,36.06,-118.39,1933,7,0
BM,36.06,-118.39,1933,8,0.0130000002682209
BM,36.06,-118.39,1933,9,0
BM,36.06,-118.39,1933,10,21.261999130249
BM,36.06,-118.39,1933,11,2.17799997329712
BM,36.06,-118.39,1933,12,168.531997680664
BM,36.06,-118.39,1934,1,84.5250015258789
BM,36.06,-118.39,1934,2,115.861999511719
BM,36.06,-118.39,1934,3,7.13399982452393
BM,36.06,-118.39,1934,4,0
BM,36.06,-118.39,1934,5,34.7159996032715
BM,36.06,-118.39,1934,6,17.6070003509521
BM,36.06,-118.39,1934,7,0
BM,36.06,-118.39,1934,8,0
BM,36.06,-118.39,1934,9,6.92000007629395
BM,36.06,-118.39,1934,10,34.2080001831055
BM,36.06,-118.39,1934,11,130.255004882812
BM,36.06,-118.39,1934,12,105.422996520996
BM,36.06,-118.39,1935,1,190.873992919922
BM,36.06,-118.39,1935,2,78.7730026245117
BM,36.06,-118.39,1935,3,149.059997558594
BM,36.06,-118.39,1935,4,176.427001953125
BM,36.06,-118.39,1935,5,12.6499996185303
BM,36.06,-118.39,1935,6,0
BM,36.06,-118.39,1935,7,0
BM,36.06,-118.39,1935,8,30.806999206543
BM,36.06,-118.39,1935,9,0.202000007033348
BM,36.06,-118.39,1935,10,29.867000579834
BM,36.06,-118.39,1935,11,27.6849994659424
BM,36.06,-118.39,1935,12,73.1029968261719
BM,36.06,-118.39,1936,1,122.064002990723
BM,36.06,-118.39,1936,2,417.128997802734
BM,36.06,-118.39,1936,3,70.8860015869141
BM,36.06,-118.39,1936,4,62.773998260498
BM,36.06,-118.39,1936,5,14.0050001144409
BM,36.06,-118.39,1936,6,17.4409999847412
BM,36.06,-118.39,1936,7,18.05299949646
BM,36.06,-118.39,1936,8,0
BM,36.06,-118.39,1936,9,0
BM,36.06,-118.39,1936,10,49.1749992370605
BM,36.06,-118.39,1936,11,2.14499998092651
BM,36.06,-118.39,1936,12,264.3330078125
BM,36.06,-118.39,1939,1,110.791999816895
BM,36.06,-118.39,1939,2,100.928001403809
BM,36.06,-118.39,1939,3,108.912002563477
BM,36.06,-118.39,1939,4,33.8230018615723
BM,36.06,-118.39,1939,5,37.0639991760254
BM,36.06,-118.39,1939,6,7.4520001411438
BM,36.06,-118.39,1939,7,0
BM,36.06,-118.39,1939,8,16.5459995269775
BM,36.06,-118.39,1939,9,47.4980010986328
BM,36.06,-118.39,1939,10,36.2980003356934
BM,36.06,-118.39,1939,11,3.11899995803833
BM,36.06,-118.39,1939,12,37.0359992980957
BM,36.06,-118.39,1940,1,452.424011230469
BM,36.06,-118.39,1940,2,254.509002685547
BM,36.06,-118.39,1940,3,107.141998291016
BM,36.06,-118.39,1940,4,52.898998260498
BM,36.06,-118.39,1940,5,0
BM,36.06,-118.39,1940,6,0
BM,36.06,-118.39,1940,7,0
BM,36.06,-118.39,1940,8,0
BM,36.06,-118.39,1940,9,0
BM,36.06,-118.39,1940,10,60.9519996643066
BM,36.06,-118.39,1940,11,10.5699996948242
BM,36.06,-118.39,1940,12,320.265991210938
BM,36.06,-118.39,1941,1,146.085998535156
BM,36.06,-118.39,1941,2,227.800003051758
BM,36.06,-118.39,1941,3,111.74299621582
BM,36.06,-118.39,1941,4,128.208999633789
BM,36.06,-118.39,1941,5,16.5349998474121
BM,36.06,-118.39,1941,6,0.0149999996647239
BM,36.06,-118.39,1941,7,0
BM,36.06,-118.39,1941,8,25.576000213623
BM,36.06,-118.39,1941,9,0
BM,36.06,-118.39,1941,10,30.8150005340576
BM,36.06,-118.39,1941,11,36.6860008239746
BM,36.06,-118.39,1941,12,325.31201171875
BM,36.06,-118.39,1942,1,124.497001647949
BM,36.06,-118.39,1942,2,75.8850021362305
BM,36.06,-118.39,1942,3,76.4609985351562
BM,36.06,-118.39,1942,4,115.036003112793
BM,36.06,-118.39,1942,5,59.0519981384277
BM,36.06,-118.39,1942,6,0
BM,36.06,-118.39,1942,7,0
BM,36.06,-118.39,1942,8,23.0139999389648
BM,36.06,-118.39,1942,9,0
