year,summer_ppt,summer_tmin,summer_tmax,summer_tmean,summer_td_mean,summer_vpdmin,summer_vpdmax
1952,48.549000263214054,5.2757500410079965,19.402250051498427,12.338500738143916,2.3147500753402728,1.7087499797344226,15.422999858856201
1953,43.934000015258796,5.819249868392943,19.062249898910526,12.440250635147112,0.11399999260902255,3.0062500238418575,16.0125000476837
1954,20.02000021934508,5.337750017642975,19.021500110626224,12.179250478744517,-1.17299997806549,3.1737499833107,16.254999876022325
1955,0,5.518249869346617,19.1362497806549,12.326500654220585,1.3822500333189962,2.324000000953675,15.463000297546426
1956,49.8390007019043,5.693249940872195,18.883500099182125,12.288000583648675,0.5977500230073902,2.710999965667725,15.303499937057525
1957,13.03900003433227,5.495750069618225,19.023000240325924,12.259000539779676,1.7310000061988815,2.11700001358986,15.04874992370605
1958,49.90399980545038,5.568749964237212,18.96274971961975,12.265000581741335,2.10475000180304,1.9985000193119076,14.836750030517575
1959,47.50599831342697,5.956750035285948,19.6637496948242,12.809750556945794,1.3067499697208425,2.5039999485015874,16.18849968910215
1960,15.02500009536743,6.91474997997284,20.723000526428223,13.8187506198883,1.145749956369401,3.2655000686645548,17.75899934768675
1961,62.62299886718392,6.761750221252442,19.784500122070323,13.272750616073626,2.069750130176545,2.5829999446868923,15.828500032424925
1962,4.8600001335144,5.65199989080429,19.228000164031975,12.439500570297225,-0.46124998480081497,3.22374999523163,16.38324999809265
1963,61.8649997711181,4.80200010538101,18.272249698638923,11.536500453948966,0.7760000117123131,2.2354999482631674,14.672999858856208
1964,23.54299974441529,5.512249946594237,18.831749916076674,12.171500682830803,0.5312499329447766,2.69524997472763,15.463749885559075
1965,48.95500040054318,4.545750081539152,17.3087501525879,10.927000522613513,0.13024997711181852,2.303750000894068,13.712749719619765
1966,16.677000015974034,6.9124999046325675,19.287250041961677,13.099500656127926,0.7132499814033528,3.53549998998642,16.032500028610226
1967,75.29599952697757,7.0770000219345,19.494750022888176,13.285501003265376,3.21299993991852,2.533000007271767,15.305500030517575
1968,10.2399997711182,6.497000098228455,19.35875034332275,12.927750825881951,-0.07149995118379608,3.432750046253205,16.272250175476074
1969,88.52900034189231,6.928749859333036,19.22424960136415,13.0760006904602,2.591500028967856,2.656000003218654,15.242249965667728
1970,14.64900016784668,7.082249999046325,19.79374980926515,13.437250614166249,0.9287500381469724,3.26600006222725,16.41874957084655
1971,31.312000274658146,7.146999776363373,19.365500211715673,13.25550055503844,-0.3720000088214875,4.053249955177308,16.5625
1972,88.264002293348355,6.82350015640259,18.85049962997435,12.83625054359435,1.157749984413386,3.22475004196167,15.271500110626224
