site,lat,long,year,month,tmax
BM,36.06,-118.39,2004,9,20.5370006561279
BM,36.06,-118.39,2004,10,11.5909996032715
BM,36.06,-118.39,2004,11,5.8899998664856
BM,36.06,-118.39,2004,12,6.92500019073486
BM,36.06,-118.39,2005,1,4.88899993896484
BM,36.06,-118.39,2005,2,4.23400020599365
BM,36.06,-118.39,2005,3,6.48999977111816
BM,36.06,-118.39,2005,4,9.5649995803833
BM,36.06,-118.39,2005,5,14.4399995803833
BM,36.06,-118.39,2005,6,18.2439994812012
BM,36.06,-118.39,2005,7,25.5300006866455
BM,36.06,-118.39,2005,8,23.2679996490479
BM,36.06,-118.39,2005,9,18.1490001678467
BM,36.06,-118.39,2005,10,13.1470003128052
BM,36.06,-118.39,2005,11,10.6820001602173
BM,36.06,-118.39,2005,12,6.44199991226196
BM,36.06,-118.39,2006,1,5.41900014877319
BM,36.06,-118.39,2006,2,6.78700017929077
BM,36.06,-118.39,2006,3,1.84700000286102
BM,36.06,-118.39,2006,4,8.70400047302246
BM,36.06,-118.39,2006,5,16.7450008392334
BM,36.06,-118.39,2006,6,22.5090007781982
BM,36.06,-118.39,2006,7,24.5599994659424
BM,36.06,-118.39,2006,8,23.4720001220703
BM,36.06,-118.39,2006,9,20.2749996185303
BM,36.06,-118.39,2006,10,14.0970001220703
BM,36.06,-118.39,2006,11,11.1440000534058
BM,36.06,-118.39,2006,12,6.93900012969971
BM,36.06,-118.39,2007,1,6.14799976348877
BM,36.06,-118.39,2007,2,5.95599985122681
BM,36.06,-118.39,2007,3,10.5
BM,36.06,-118.39,2007,4,11.6330003738403
BM,36.06,-118.39,2007,5,17.0590000152588
BM,36.06,-118.39,2007,6,21.8549995422363
BM,36.06,-118.39,2007,7,25.5130004882812
BM,36.06,-118.39,2007,8,24.9650001525879
BM,36.06,-118.39,2007,9,18.7859992980957
BM,36.06,-118.39,2007,10,14.4820003509521
BM,36.06,-118.39,2007,11,13.0329999923706
BM,36.06,-118.39,2007,12,4.14300012588501
BM,36.06,-118.39,2008,1,4.29500007629395
BM,36.06,-118.39,2008,2,6.55299997329712
BM,36.06,-118.39,2008,3,7.8439998626709
BM,36.06,-118.39,2008,4,11.8299999237061
BM,36.06,-118.39,2008,5,13.4940004348755
BM,36.06,-118.39,2008,6,21.2560005187988
BM,36.06,-118.39,2008,7,23.9069995880127
BM,36.06,-118.39,2008,8,24.9139995574951
BM,36.06,-118.39,2008,9,21.1110000610352
BM,36.06,-118.39,2008,10,16.1860008239746
BM,36.06,-118.39,2008,11,11.3269996643066
BM,36.06,-118.39,2008,12,5.35799980163574
BM,36.06,-118.39,2009,1,9.72299957275391
BM,36.06,-118.39,2009,2,3.93499994277954
BM,36.06,-118.39,2009,3,6.9539999961853
BM,36.06,-118.39,2009,4,9.95199966430664
BM,36.06,-118.39,2009,5,17.6399993896484
BM,36.06,-118.39,2009,6,16.1200008392334
BM,36.06,-118.39,2009,7,24.761999130249
BM,36.06,-118.39,2009,8,23.1079998016357
BM,36.06,-118.39,2009,9,22.9640007019043
BM,36.06,-118.39,2009,10,13.2180004119873
BM,36.06,-118.39,2009,11,9.88700008392334
BM,36.06,-118.39,2009,12,4.57100009918213
BM,36.06,-118.39,2010,1,5.80299997329712
BM,36.06,-118.39,2010,2,4.37200021743774
