site,lat,long,year,month,td_mean
BM,36.06,-118.39,1918,6,-0.614000022411346
BM,36.06,-118.39,1918,7,1.88399994373322
BM,36.06,-118.39,1918,8,1.11199998855591
BM,36.06,-118.39,1918,9,-0.193000003695488
BM,36.06,-118.39,1918,10,-4.34100008010864
BM,36.06,-118.39,1918,11,-9.17099952697754
BM,36.06,-118.39,1918,12,-13.418999671936
BM,36.06,-118.39,1919,1,-13.9910001754761
BM,36.06,-118.39,1919,2,-10.1140003204346
BM,36.06,-118.39,1919,3,-10.9409999847412
BM,36.06,-118.39,1919,4,-8.97799968719482
BM,36.06,-118.39,1919,5,-4.85300016403198
BM,36.06,-118.39,1919,6,-2.33200001716614
BM,36.06,-118.39,1919,7,1.84300005435944
BM,36.06,-118.39,1919,8,0.885999977588654
BM,36.06,-118.39,1919,9,-2.05299997329712
BM,36.06,-118.39,1919,10,-8.04800033569336
BM,36.06,-118.39,1919,11,-11.5150003433228
BM,36.06,-118.39,1919,12,-12.2159996032715
BM,36.06,-118.39,1920,1,-12.576000213623
BM,36.06,-118.39,1920,2,-10.668999671936
BM,36.06,-118.39,1920,3,-11.0500001907349
BM,36.06,-118.39,1920,4,-9.76200008392334
BM,36.06,-118.39,1920,5,-5.91099977493286
BM,36.06,-118.39,1920,6,-1.36800003051758
BM,36.06,-118.39,1920,7,1.38800001144409
BM,36.06,-118.39,1920,8,1.52900004386902
BM,36.06,-118.39,1920,9,-2.32299995422363
BM,36.06,-118.39,1920,10,-6.29199981689453
BM,36.06,-118.39,1920,11,-8.20699977874756
BM,36.06,-118.39,1920,12,-11.1090002059937
BM,36.06,-118.39,1923,1,-12.71399974823
BM,36.06,-118.39,1923,2,-12.0819997787476
BM,36.06,-118.39,1923,3,-11.5459995269775
BM,36.06,-118.39,1923,4,-7.80900001525879
BM,36.06,-118.39,1923,5,-5.43300008773804
BM,36.06,-118.39,1923,6,-1.92999994754791
BM,36.06,-118.39,1923,7,1.84700000286102
BM,36.06,-118.39,1923,8,1.28799998760223
BM,36.06,-118.39,1923,9,-0.943000018596649
BM,36.06,-118.39,1923,10,-6.03499984741211
BM,36.06,-118.39,1923,11,-8.31999969482422
BM,36.06,-118.39,1923,12,-12.4989995956421
BM,36.06,-118.39,1924,1,-14.7229995727539
BM,36.06,-118.39,1924,2,-8.98700046539307
BM,36.06,-118.39,1924,3,-11.3079996109009
BM,36.06,-118.39,1924,4,-8.88500022888184
BM,36.06,-118.39,1924,5,-4.44899988174438
BM,36.06,-118.39,1924,6,-1.90199995040894
BM,36.06,-118.39,1924,7,1.53100001811981
BM,36.06,-118.39,1924,8,0.545000016689301
BM,36.06,-118.39,1924,9,-2.87899994850159
BM,36.06,-118.39,1924,10,-6.00299978256226
BM,36.06,-118.39,1924,11,-9.56400012969971
BM,36.06,-118.39,1924,12,-12.539999961853
BM,36.06,-118.39,1925,1,-12.5129995346069
BM,36.06,-118.39,1925,2,-8.26399993896484
BM,36.06,-118.39,1925,3,-10.7550001144409
BM,36.06,-118.39,1925,4,-7.36299991607666
BM,36.06,-118.39,1925,5,-3.50799989700317
BM,36.06,-118.39,1925,6,-0.764999985694885
BM,36.06,-118.39,1925,7,2.80999994277954
BM,36.06,-118.39,1925,8,1.23300004005432
BM,36.06,-118.39,1925,9,-2.49799990653992
BM,36.06,-118.39,1925,10,-5.92000007629395
BM,36.06,-118.39,1925,11,-8.85099983215332
BM,36.06,-118.39,1925,12,-10.8649997711182
BM,36.06,-118.39,1926,1,-13.8319997787476
BM,36.06,-118.39,1926,2,-8.2189998626709
BM,36.06,-118.39,1926,3,-8.39599990844727
BM,36.06,-118.39,1926,4,-4.24399995803833
BM,36.06,-118.39,1926,5,-4.44199991226196
BM,36.06,-118.39,1926,6,-1.18099999427795
BM,36.06,-118.39,1926,7,2.08899998664856
BM,36.06,-118.39,1926,8,0.916000008583069
BM,36.06,-118.39,1926,9,-3.54699993133545
BM,36.06,-118.39,1926,10,-5.29899978637695
BM,36.06,-118.39,1926,11,-6.40199995040894
BM,36.06,-118.39,1926,12,-11.2829999923706
BM,36.06,-118.39,1927,1,-11.1800003051758
BM,36.06,-118.39,1927,2,-7.3600001335144
BM,36.06,-118.39,1927,3,-10.039999961853
BM,36.06,-118.39,1927,4,-9.00500011444092
BM,36.06,-118.39,1927,5,-5.76100015640259
BM,36.06,-118.39,1927,6,-1.32500004768372
BM,36.06,-118.39,1927,7,1.8639999628067
BM,36.06,-118.39,1927,8,0.855000019073486
BM,36.06,-118.39,1927,9,-2.64100003242493
BM,36.06,-118.39,1927,10,-5.77099990844727
BM,36.06,-118.39,1927,11,-6.14699983596802
BM,36.06,-118.39,1927,12,-11.6879997253418
BM,36.06,-118.39,1928,1,-12.0229997634888
BM,36.06,-118.39,1928,2,-10.2130002975464
BM,36.06,-118.39,1928,3,-7.47200012207031
BM,36.06,-118.39,1928,4,-8.75300025939941
BM,36.06,-118.39,1928,5,-3.75500011444092
