site,lat,long,year,month,tmin
BM,36.06,-118.39,1944,9,4.0460000038147
BM,36.06,-118.39,1944,10,-0.772000014781952
BM,36.06,-118.39,1944,11,-5.51900005340576
BM,36.06,-118.39,1944,12,-6.48600006103516
BM,36.06,-118.39,1945,1,-8.60999965667725
BM,36.06,-118.39,1945,2,-8.875
BM,36.06,-118.39,1945,3,-10.3249998092651
BM,36.06,-118.39,1945,4,-6.50899982452393
BM,36.06,-118.39,1945,5,-2.78200006484985
BM,36.06,-118.39,1945,6,2.76399993896484
BM,36.06,-118.39,1945,7,8.31700038909912
BM,36.06,-118.39,1945,8,7.03800010681152
BM,36.06,-118.39,1945,9,4.66800022125244
BM,36.06,-118.39,1945,10,0.876999974250793
BM,36.06,-118.39,1945,11,-5.32200002670288
BM,36.06,-118.39,1945,12,-6.58799982070923
BM,36.06,-118.39,1946,1,-8.6899995803833
BM,36.06,-118.39,1946,2,-10.9659996032715
BM,36.06,-118.39,1946,3,-7.92700004577637
BM,36.06,-118.39,1946,4,-4.27799987792969
BM,36.06,-118.39,1946,5,-1.50100004673004
BM,36.06,-118.39,1946,6,1.91299998760223
BM,36.06,-118.39,1946,7,6.22100019454956
BM,36.06,-118.39,1946,8,10.2309999465942
BM,36.06,-118.39,1946,9,3.09999990463257
BM,36.06,-118.39,1946,10,-3.55200004577637
BM,36.06,-118.39,1946,11,-6.28900003433228
BM,36.06,-118.39,1946,12,-5.35799980163574
BM,36.06,-118.39,1947,1,-9.79300022125244
BM,36.06,-118.39,1947,2,-6.83799982070923
BM,36.06,-118.39,1947,3,-5.39900016784668
BM,36.06,-118.39,1947,4,-4.10300016403198
BM,36.06,-118.39,1947,5,0.703999996185303
BM,36.06,-118.39,1947,6,1.57500004768372
BM,36.06,-118.39,1947,7,4.03599977493286
BM,36.06,-118.39,1947,8,4.55800008773804
BM,36.06,-118.39,1947,9,4.99100017547607
BM,36.06,-118.39,1947,10,-0.229000002145767
BM,36.06,-118.39,1947,11,-6.36899995803833
