site,lat,long,year,month,tmean
BM,36.06,-118.39,1969,11,3.83800029754639
BM,36.06,-118.39,1969,12,0.321000009775162
BM,36.06,-118.39,1970,1,-0.852000057697296
BM,36.06,-118.39,1970,2,0.177000001072884
BM,36.06,-118.39,1970,3,-0.364000022411346
BM,36.06,-118.39,1970,4,-0.502000033855438
BM,36.06,-118.39,1970,5,7.11800050735474
BM,36.06,-118.39,1970,6,10.6590003967285
BM,36.06,-118.39,1970,7,15.6270008087158
BM,36.06,-118.39,1970,8,16.0060005187988
BM,36.06,-118.39,1970,9,11.4570007324219
BM,36.06,-118.39,1970,10,6.78400039672852
BM,36.06,-118.39,1970,11,3.29300022125244
BM,36.06,-118.39,1970,12,-3.2480001449585
BM,36.06,-118.39,1971,1,-0.520000040531158
BM,36.06,-118.39,1971,2,-0.65800005197525
BM,36.06,-118.39,1971,3,0.424000024795532
BM,36.06,-118.39,1971,4,0.990000069141388
BM,36.06,-118.39,1971,5,2.33800005912781
BM,36.06,-118.39,1971,6,9.79600048065186
BM,36.06,-118.39,1971,7,15.0660009384155
BM,36.06,-118.39,1971,8,16.1840000152588
BM,36.06,-118.39,1971,9,11.9760007858276
BM,36.06,-118.39,1971,10,4.28600025177002
BM,36.06,-118.39,1971,11,1.22300004959106
BM,36.06,-118.39,1971,12,-5.12700033187866
BM,36.06,-118.39,1972,1,-0.885000050067902
BM,36.06,-118.39,1972,2,-0.151000007987022
BM,36.06,-118.39,1972,3,3.47100019454956
BM,36.06,-118.39,1972,4,2.3510000705719
BM,36.06,-118.39,1972,5,6.51200008392334
BM,36.06,-118.39,1972,6,11.6880006790161
BM,36.06,-118.39,1972,7,15.8060007095337
BM,36.06,-118.39,1972,8,13.9760007858276
BM,36.06,-118.39,1972,9,9.875
BM,36.06,-118.39,1972,10,3.63600015640259
BM,36.06,-118.39,1972,11,-0.19200000166893
BM,36.06,-118.39,1972,12,-2.99000024795532
BM,36.06,-118.39,1973,1,-3.19700026512146
BM,36.06,-118.39,1973,2,-2.4760000705719
BM,36.06,-118.39,1973,3,-4.14400005340576
BM,36.06,-118.39,1973,4,1.28900003433228
BM,36.06,-118.39,1973,5,7.68600034713745
BM,36.06,-118.39,1973,6,12.0520009994507
BM,36.06,-118.39,1973,7,14.6510009765625
BM,36.06,-118.39,1973,8,14.3450002670288
BM,36.06,-118.39,1973,9,11.5970001220703
BM,36.06,-118.39,1973,10,6.96400022506714
BM,36.06,-118.39,1973,11,0.282000005245209
BM,36.06,-118.39,1973,12,1.00800001621246
BM,36.06,-118.39,1975,1,0.397000014781952
BM,36.06,-118.39,1975,2,-2.63500022888184
BM,36.06,-118.39,1975,3,-2.75600004196167
BM,36.06,-118.39,1975,4,-3.24300026893616
BM,36.06,-118.39,1975,5,5.13700008392334
BM,36.06,-118.39,1975,6,10.78600025177
BM,36.06,-118.39,1975,7,14.3830003738403
BM,36.06,-118.39,1975,8,13.5150003433228
BM,36.06,-118.39,1975,9,12.9300003051758
BM,36.06,-118.39,1975,10,5.1060004234314
BM,36.06,-118.39,1975,11,2.23300004005432
BM,36.06,-118.39,1975,12,1.64300012588501
BM,36.06,-118.39,1976,1,1.33700001239777
BM,36.06,-118.39,1976,2,-1.07200002670288
BM,36.06,-118.39,1976,3,-1.55800008773804
BM,36.06,-118.39,1976,4,0.193000003695488
BM,36.06,-118.39,1976,5,7.49600028991699
BM,36.06,-118.39,1976,6,10.1830005645752
BM,36.06,-118.39,1976,7,14.0090007781982
BM,36.06,-118.39,1976,8,10.5960006713867
BM,36.06,-118.39,1976,9,10.3250007629395
BM,36.06,-118.39,1976,10,6.80100011825562
BM,36.06,-118.39,1976,11,5.47700023651123
BM,36.06,-118.39,1976,12,1.93700003623962
BM,36.06,-118.39,1978,1,-1.47000002861023
BM,36.06,-118.39,1978,2,-1.43800008296967
BM,36.06,-118.39,1978,3,1.41100001335144
BM,36.06,-118.39,1978,4,-0.0530000030994415
BM,36.06,-118.39,1978,5,5.92000007629395
BM,36.06,-118.39,1978,6,10.7200002670288
BM,36.06,-118.39,1978,7,13.8880004882812
BM,36.06,-118.39,1978,8,14.2050008773804
BM,36.06,-118.39,1978,9,10.0110006332397
BM,36.06,-118.39,1978,10,9.35500049591064
BM,36.06,-118.39,1978,11,0.618000030517578
BM,36.06,-118.39,1978,12,-2.11199998855591
BM,36.06,-118.39,1979,1,-4.2020001411438
BM,36.06,-118.39,1979,2,-2.65900015830994
BM,36.06,-118.39,1979,3,-1.07600009441376
BM,36.06,-118.39,1979,4,2.14600014686584
BM,36.06,-118.39,1979,5,6.99900054931641
BM,36.06,-118.39,1979,6,11.7440004348755
BM,36.06,-118.39,1979,7,14.3950004577637
BM,36.06,-118.39,1979,8,13.1320009231567
BM,36.06,-118.39,1979,9,13.7470006942749
BM,36.06,-118.39,1979,10,6.76200008392334
BM,36.06,-118.39,1979,11,1.91500008106232
BM,36.06,-118.39,1979,12,2.382000207901
BM,36.06,-118.39,1980,1,-0.373000025749207
BM,36.06,-118.39,1980,2,0.585000038146973
BM,36.06,-118.39,1980,3,-2.19500017166138
BM,36.06,-118.39,1980,4,2.88500022888184
BM,36.06,-118.39,1980,5,2.81800007820129
BM,36.06,-118.39,1980,6,8.64600086212158
BM,36.06,-118.39,1980,7,14.4400005340576
BM,36.06,-118.39,1980,8,13.9350004196167
BM,36.06,-118.39,1980,9,11.738000869751
BM,36.06,-118.39,1980,10,7.86600017547607
BM,36.06,-118.39,1980,11,4.91400003433228
BM,36.06,-118.39,1980,12,3.42700004577637
BM,36.06,-118.39,1981,1,0.420000016689301
BM,36.06,-118.39,1981,2,0.65800005197525
BM,36.06,-118.39,1981,3,-1.60500001907349
BM,36.06,-118.39,1981,4,3.71800017356873
BM,36.06,-118.39,1981,5,6.31700038909912
BM,36.06,-118.39,1981,6,13.7800006866455
BM,36.06,-118.39,1981,7,14.528000831604
BM,36.06,-118.39,1981,8,15.8090009689331
BM,36.06,-118.39,1981,9,12.4440002441406
BM,36.06,-118.39,1981,10,3.42600011825562
BM,36.06,-118.39,1981,11,3.25800013542175
BM,36.06,-118.39,1981,12,1.78900003433228
BM,36.06,-118.39,1982,1,-2.132000207901
BM,36.06,-118.39,1982,2,0.0260000005364418
BM,36.06,-118.39,1982,3,-2.61900019645691
BM,36.06,-118.39,1982,4,0.930000066757202
BM,36.06,-118.39,1982,5,6.08700037002563
BM,36.06,-118.39,1982,6,8.39900016784668
BM,36.06,-118.39,1982,7,13.0010004043579
BM,36.06,-118.39,1982,8,14.6250009536743
BM,36.06,-118.39,1982,9,10.2670001983643
BM,36.06,-118.39,1982,10,5.87800025939941
BM,36.06,-118.39,1982,11,0.803000032901764
BM,36.06,-118.39,1982,12,-1.15000009536743
BM,36.06,-118.39,1983,1,-0.0890000015497208
BM,36.06,-118.39,1983,2,-1.35800004005432
BM,36.06,-118.39,1983,3,-1.83100008964539
BM,36.06,-118.39,1983,4,-1.60700011253357
BM,36.06,-118.39,1983,5,5.17800045013428
BM,36.06,-118.39,1983,6,10.3510007858276
BM,36.06,-118.39,1983,7,12.7230005264282
BM,36.06,-118.39,1983,8,13.8060007095337
BM,36.06,-118.39,1983,9,12.8230009078979
BM,36.06,-118.39,1983,10,6.34900045394897
BM,36.06,-118.39,1983,11,1.16400003433228
BM,36.06,-118.39,1983,12,-0.290000021457672
BM,36.06,-118.39,1984,1,1.58400011062622
BM,36.06,-118.39,1984,2,-0.425000011920929
BM,36.06,-118.39,1984,3,1.70500004291534
BM,36.06,-118.39,1984,4,0.989000022411346
BM,36.06,-118.39,1984,5,9.04800033569336
BM,36.06,-118.39,1984,6,10.3010005950928
BM,36.06,-118.39,1984,7,15.407000541687
BM,36.06,-118.39,1984,8,15.2880010604858
BM,36.06,-118.39,1984,9,13.1580009460449
BM,36.06,-118.39,1984,10,3.54500007629395
BM,36.06,-118.39,1984,11,-0.162000000476837
BM,36.06,-118.39,1984,12,-2.61900019645691
BM,36.06,-118.39,1985,1,-1.125
BM,36.06,-118.39,1985,2,-0.72900003194809
BM,36.06,-118.39,1985,3,-2.58100008964539
BM,36.06,-118.39,1985,4,4.91200017929077
BM,36.06,-118.39,1985,5,6.60700035095215
BM,36.06,-118.39,1985,6,12.7850008010864
BM,36.06,-118.39,1985,7,15.6040010452271
BM,36.06,-118.39,1985,8,14.4400005340576
BM,36.06,-118.39,1985,9,7.74000024795532
BM,36.06,-118.39,1985,10,6.30900049209595
BM,36.06,-118.39,1985,11,0.48800003528595
BM,36.06,-118.39,1985,12,1.3860000371933
BM,36.06,-118.39,1986,1,3.382000207901
BM,36.06,-118.39,1986,2,-0.526000022888184
BM,36.06,-118.39,1986,3,2.06300020217896
BM,36.06,-118.39,1986,4,2.8270001411438
BM,36.06,-118.39,1986,5,6.67400026321411
BM,36.06,-118.39,1986,6,12.1720008850098
BM,36.06,-118.39,1986,7,12.94700050354
BM,36.06,-118.39,1986,8,15.7120008468628
BM,36.06,-118.39,1986,9,7.00300025939941
BM,36.06,-118.39,1986,10,5.51700019836426
BM,36.06,-118.39,1986,11,3.60900020599365
BM,36.06,-118.39,1986,12,0.328000009059906
BM,36.06,-118.39,1987,1,-1.9760000705719
BM,36.06,-118.39,1987,2,-2.0789999961853
BM,36.06,-118.39,1987,3,-1.42700004577637
BM,36.06,-118.39,1987,4,5.96900033950806
BM,36.06,-118.39,1987,5,6.30300045013428
BM,36.06,-118.39,1987,6,12.2100009918213
BM,36.06,-118.39,1987,7,12.157000541687
BM,36.06,-118.39,1987,8,14.9800004959106
BM,36.06,-118.39,1987,9,11.9580001831055
BM,36.06,-118.39,1987,10,8.57600021362305
BM,36.06,-118.39,1987,11,1.69800007343292
BM,36.06,-118.39,1987,12,-3.55000019073486
BM,36.06,-118.39,1988,1,-0.708000004291534
BM,36.06,-118.39,1988,2,1.63800013065338
BM,36.06,-118.39,1988,3,1.35900008678436
BM,36.06,-118.39,1988,4,3.09000015258789
BM,36.06,-118.39,1988,5,4.93000030517578
BM,36.06,-118.39,1988,6,10.5060005187988
BM,36.06,-118.39,1988,7,16.1550006866455
BM,36.06,-118.39,1988,8,15.1320009231567
BM,36.06,-118.39,1988,9,12.3930006027222
BM,36.06,-118.39,1988,10,10.8730001449585
BM,36.06,-118.39,1988,11,2.19000005722046
BM,36.06,-118.39,1988,12,-1.43400001525879
BM,36.06,-118.39,1989,1,-2.1470000743866
BM,36.06,-118.39,1989,2,-2.72500014305115
BM,36.06,-118.39,1989,3,1.5110000371933
BM,36.06,-118.39,1989,4,6.43600034713745
BM,36.06,-118.39,1989,5,5.96300029754639
BM,36.06,-118.39,1989,6,11.0620002746582
BM,36.06,-118.39,1989,7,15.3740005493164
BM,36.06,-118.39,1989,8,13.6470003128052
BM,36.06,-118.39,1989,9,11.2990007400513
BM,36.06,-118.39,1989,10,6.14900016784668
BM,36.06,-118.39,1989,11,5.45600032806396
BM,36.06,-118.39,1989,12,3.23900008201599
BM,36.06,-118.39,1990,1,-1.24900007247925
BM,36.06,-118.39,1990,2,-3.20900011062622
BM,36.06,-118.39,1990,3,0.922000050544739
BM,36.06,-118.39,1990,4,4.38000011444092
BM,36.06,-118.39,1990,5,5.25700044631958
BM,36.06,-118.39,1990,6,11.5120000839233
BM,36.06,-118.39,1990,7,15.4340009689331
BM,36.06,-118.39,1990,8,14.2670011520386
BM,36.06,-118.39,1990,9,11.4360008239746
BM,36.06,-118.39,1990,10,9.51900005340576
BM,36.06,-118.39,1990,11,3.49000024795532
BM,36.06,-118.39,1990,12,-2.28299999237061
BM,36.06,-118.39,1991,1,-0.0620000027120113
BM,36.06,-118.39,1991,2,2.76800012588501
BM,36.06,-118.39,1991,3,-4.56400012969971
BM,36.06,-118.39,1991,4,1.3160001039505
BM,36.06,-118.39,1991,5,3.27800011634827
BM,36.06,-118.39,1991,6,9.4370002746582
BM,36.06,-118.39,1991,7,15.0670003890991
BM,36.06,-118.39,1991,8,14.2040004730225
BM,36.06,-118.39,1991,9,13.403000831604
BM,36.06,-118.39,1991,10,9.52300071716309
BM,36.06,-118.39,1991,11,4.14100027084351
BM,36.06,-118.39,1991,12,0.648000001907349
BM,36.06,-118.39,1992,1,0.40200001001358
