year,winter_ppt,winter_tmin,winter_tmax,winter_tmean,winter_td_mean,winter_vpdmin,winter_vpdmax
1971,629.140014767647,-4.487125031650066,6.8382499516010276,1.1753750666975977,-7.85224989056588,1.1020000218413761,6.597749948501583
1972,399.40699148178055,-4.429749999195337,7.350124970078476,1.460000032559037,-8.23000013828277,1.2336249873042107,7.174750000238414
1973,993.5099983215326,-5.807374924421312,5.710249930620199,-0.04850001260638117,-7.068374946713441,0.6309999904915458,5.7458749711513555
1974,840.8659858703616,-4.047250039875508,7.257499992847436,1.6048750459449357,-9.213749945163723,1.627749994397163,7.39312505722046
1975,744.1309928894044,-5.160125076770781,6.318250000476839,0.5788749977946278,-9.243375033140184,1.2924999976530671,6.667500019073481
1976,382.9250030517578,-4.028000004589558,7.8728751540183985,1.9222500976175074,-10.015749931335437,1.8012499809265132,7.878874957561494
1977,319.82200360298157,-3.9266250748187304,7.744875013828278,1.9086250439286236,-10.774374961853034,2.0065000131726256,8.01037496328354
1978,1249.0429988503442,-2.8915000110864644,7.74800005555152,2.428249996155501,-7.347124934196472,1.7101250141859057,7.272749990224835
1979,639.9159984588631,-4.544249899685383,6.811374880373469,1.133625105023382,-8.441125035285953,1.3686249852180477,6.980750024318698
1980,1150.9910030364993,-3.3526249825954437,7.047250062227255,1.8473750650882719,-8.799249947071068,1.6468749996274719,6.899750053882597
1981,552.9569969177246,-2.4118749983608736,8.841125011444086,3.214375108480454,-8.84537506103516,2.0667500160634535,8.321499943733217
1982,993.6969976425185,-3.9571250528097153,6.648500114679332,1.3456250401213767,-8.297874927520747,1.3562500104308128,6.537874937057495
1983,1437.9920272827158,-4.498374901711941,5.953625053167338,0.7280000504106279,-9.450624883174898,1.3172500133514398,6.271250098943706
1984,683.5980035811651,-2.719124972820281,7.750375032424934,2.5155001208186145,-9.09212502837182,1.7691249847412116,7.357125043869012
1985,690.6539955139159,-4.53362499177456,6.495125055313117,0.9810000360012053,-10.096624851226816,1.4343750253319754,6.826124906539921
1986,1137.6459999084473,-2.493624985218048,8.1453749537468,2.8253751695156106,-7.500250041484836,1.597749985754489,7.174625039100649
1987,504.4480056762693,-3.4758749813772734,7.536875069141389,2.030500136315823,-8.662875063717356,1.4470000043511406,7.226499974727626
1988,556.3750066757204,-3.4575000703334826,7.716374978423124,2.1291250959038734,-8.364875003695488,1.6191250160336503,7.347875058650966
1989,783.8470115661626,-2.9229999501258126,8.09012487530708,2.583375081419945,-8.581500053405763,2.0190000087022764,8.28987503051758
