site,lat,long,year,month,vpdmin
BM,36.06,-118.39,1926,7,4.46600008010864
BM,36.06,-118.39,1926,8,4.75699996948242
BM,36.06,-118.39,1926,9,2.70700001716614
BM,36.06,-118.39,1926,10,2.46199989318848
BM,36.06,-118.39,1926,11,2.01600003242493
BM,36.06,-118.39,1926,12,1.04799997806549
BM,36.06,-118.39,1927,1,1.16999995708466
BM,36.06,-118.39,1927,2,0.495999991893768
BM,36.06,-118.39,1927,3,1.01999998092651
BM,36.06,-118.39,1927,4,1.30900001525879
BM,36.06,-118.39,1927,5,1.66100001335144
BM,36.06,-118.39,1927,6,2.31100010871887
BM,36.06,-118.39,1927,7,3.34299993515015
BM,36.06,-118.39,1927,8,3.16700005531311
BM,36.06,-118.39,1927,9,2.32200002670288
BM,36.06,-118.39,1927,10,2.14599990844727
BM,36.06,-118.39,1927,11,1.57700002193451
BM,36.06,-118.39,1927,12,1.23099994659424
BM,36.06,-118.39,1928,1,1.41600000858307
BM,36.06,-118.39,1928,2,0.879000008106232
BM,36.06,-118.39,1928,3,0.952000021934509
BM,36.06,-118.39,1928,4,1.29700005054474
BM,36.06,-118.39,1928,5,1.85599994659424
BM,36.06,-118.39,1928,6,2.64499998092651
BM,36.06,-118.39,1928,7,3.24799990653992
BM,36.06,-118.39,1928,8,4.07600021362305
BM,36.06,-118.39,1928,9,4.10500001907349
BM,36.06,-118.39,1928,10,2.01099991798401
BM,36.06,-118.39,1928,11,1.39600002765656
BM,36.06,-118.39,1928,12,1.17799997329712
BM,36.06,-118.39,1929,1,1.17799997329712
BM,36.06,-118.39,1929,2,0.671000003814697
BM,36.06,-118.39,1929,3,0.978999972343445
BM,36.06,-118.39,1929,4,1.14300000667572
BM,36.06,-118.39,1929,5,1.47099995613098
BM,36.06,-118.39,1929,6,1.45899999141693
BM,36.06,-118.39,1929,7,3.03200006484985
BM,36.06,-118.39,1929,8,4.75500011444092
BM,36.06,-118.39,1929,9,3.51699995994568
BM,36.06,-118.39,1929,10,2.81399989128113
BM,36.06,-118.39,1929,11,2.3289999961853
BM,36.06,-118.39,1929,12,2.06299996376038
BM,36.06,-118.39,1930,1,0.873000025749207
BM,36.06,-118.39,1930,2,1.01400005817413
BM,36.06,-118.39,1930,3,1.11699998378754
BM,36.06,-118.39,1930,4,1.2940000295639
BM,36.06,-118.39,1930,5,0.897000014781952
BM,36.06,-118.39,1930,6,2.99000000953674
BM,36.06,-118.39,1930,7,3.15000009536743
BM,36.06,-118.39,1930,8,3.625
BM,36.06,-118.39,1930,9,2.14100003242493
BM,36.06,-118.39,1930,10,2.21700000762939
BM,36.06,-118.39,1930,11,2.06200003623962
BM,36.06,-118.39,1930,12,1.70099997520447
BM,36.06,-118.39,1931,1,1.37899994850159
BM,36.06,-118.39,1931,2,0.524999976158142
BM,36.06,-118.39,1931,3,1.29200005531311
BM,36.06,-118.39,1931,4,1.74000000953674
BM,36.06,-118.39,1931,5,1.86500000953674
BM,36.06,-118.39,1931,6,1.68700003623962
BM,36.06,-118.39,1931,7,4.64499998092651
BM,36.06,-118.39,1931,8,5.01000022888184
BM,36.06,-118.39,1931,9,2.85599994659424
BM,36.06,-118.39,1931,10,2.24399995803833
