n,sigma,betas,model,rmse_forecast,rmse_beta,rmse_phi,rmse_sigma,divergent_trans,fr_true_pos,fr_false_pos,phi_true_pos,phi_false_pos,beta_true_pos,beta_false_pos,TPR_threshold,mod_run,prior
730,1,0,gauss,8.64958073408536,18877.8511697645,0.188042696767891,0.494881533840932,1019,0.166666666666667,0.201058201058201,1,0.7,0,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1037.rds,NA
730,1,0,arima,6.52588962828951,1.05453748996388,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
1095,1,0,hs,3.20672247271409,2.01154178799852,0.233486051792337,0.363801604712104,0,0.545454545454545,0.0105263157894737,0.8,0.5,0,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1038.rds,NA
1095,1,0,gauss,4.39109671630984,7605.1464318391,0.358577572511265,0.622693279968856,1276,0.363636363636364,0.247368421052632,1,0.9,0,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1038.rds,NA
1095,1,0,arima,7.52943801381863,0.522818116772455,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
365,1,2,hs,3.34760619079242,0.800508807985853,0.111571606821319,0.10155992525211,1,0.166666666666667,0.0102564102564103,0.6,0.1,1,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1039.rds,NA
365,1,2,gauss,8.56146919105286,3701.82342559273,0.217736277076949,0.148197875837489,148,0.166666666666667,0.123076923076923,0.8,0.5,1,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1039.rds,NA
365,1,2,arima,4.30199784793794,3.35226928411513,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
730,1,2,hs,2.62299070292533,1.04775375500328,0.146592659736265,0.138864458468035,16,0.25,0,0.8,0.3,0.666666666666667,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run104.rds,NA
730,1,2,gauss,3.51130001025,1.00168680842982,0.187631363327573,0.234645367335546,0,0.25,0.124352331606218,0.8,0.6,1,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run104.rds,NA
730,1,2,arima,4.17914591650727,4.27483665699139,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
730,1,2,hs,2.40738201503462,0.592486311876401,0.102093237728015,0.1181743119826,0,0,0.00515463917525773,0.8,0.1,0.666666666666667,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1040.rds,NA
730,1,2,gauss,3.34160229256943,4490.71943433892,0.16347967263795,0.170296014482253,213,0,0.190721649484536,0.8,0.2,0.333333333333333,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1040.rds,NA
730,1,2,arima,2.46713803756161,3.67059279058305,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
1095,1,2,hs,4.14574359485079,0.616458580348757,0.159229082888701,0.148823732220537,0,0.571428571428571,0.0103092783505155,1,0.3,1,1,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1041.rds,NA
1095,1,2,gauss,4.14252019655966,2.84962308220258,0.213180117968536,0.175143588670724,43,0.571428571428571,0.185567010309278,1,0.6,1,0,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1041.rds,NA
1095,1,2,arima,6.89460485356716,2.7808919941027,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
365,1,4,hs,4.61409470890898,1.0613973527537,0.189110853705013,0.214300969766247,0,0,0,0.8,0.3,0.8,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1042.rds,NA
365,1,4,gauss,10.9709238085171,2720.71803789614,0.301689663550726,0.667953263176486,1128,0,0.0304568527918782,0.6,0.3,0.6,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1042.rds,NA
365,1,4,arima,4.05758524377956,1.98583962580564,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
730,1,4,hs,2.93159401050916,0.467444216745066,0.0574257525778806,0.209994254791656,0,0,0.0050761421319797,0.6,0.1,0.8,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1043.rds,NA
730,1,4,gauss,4.24143616585366,13039.0476470953,0.164852623182429,0.293681219540851,51,0,0.197969543147208,0.6,0.5,0.8,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1043.rds,NA
730,1,4,arima,3.0327165990496,4.00902319218774,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
1095,1,4,hs,3.50216649051097,0.8305792330082,0.0364583710796597,0.0692775887827546,1,0,0.0050761421319797,0.8,0,0.8,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1044.rds,NA
1095,1,4,gauss,4.74708989883564,12613.9832116416,0.180123342327388,0.185427624674594,175,0,0.218274111675127,0.8,0.8,0.8,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1044.rds,NA
1095,1,4,arima,5.50740818792664,5.02089813777512,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
365,1,0,hs,3.12649808525425,1.54189852979342,0.187654288139337,0.282470355602996,0,0.0909090909090909,0,0.4,0,0,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1045.rds,NA
365,1,0,gauss,5.43193054231333,1.53965117771368,0.269504883300121,0.342376230164903,0,0.181818181818182,0.163157894736842,0.6,0.7,0,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1045.rds,NA
365,1,0,arima,8.63563733975486,1.37326850644776,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
730,1,0,hs,2.36929784200597,1.75000802289678,0.090811772618631,0.0905502179561894,0,0.181818181818182,0.00526315789473684,1,0.1,1,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1046.rds,NA
730,1,0,gauss,5.2879151809795,24401.6499315347,0.157497827724523,0.193790016154626,125,0.181818181818182,0.2,0.8,0.4,0,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1046.rds,NA
730,1,0,arima,2.33529055280473,0.599934745032783,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
365,1,2,hs,2.81842743618594,0.505857548803624,0.221137122772699,0.291949958688398,0,0.285714285714286,0.0103092783505155,0.6,0.3,0.666666666666667,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1048.rds,NA
365,1,2,gauss,12.2905825142061,24563.0196586538,0.377647517608299,0.641453354050926,125,0.142857142857143,0.118556701030928,0,0.9,1,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1048.rds,NA
365,1,2,arima,11.0981347111509,3.27224411904835,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
730,1,2,hs,4.37229958941888,1.09534048427562,0.0730385661645865,0.267798724436377,0,0.5,0.0155440414507772,0.8,0.1,0.666666666666667,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1049.rds,NA
730,1,2,gauss,11.9917759105827,27243.3091169604,0.22616065799275,0.470954476816107,288,0.375,0.170984455958549,0.8,0.4,0.666666666666667,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1049.rds,NA
730,1,2,arima,6.52626338215646,2.68630697159406,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
1095,1,2,hs,5.2713447758391,0.847871906415744,0.15506512132448,0.0881338438761422,3,0.4,0.00510204081632653,1,0.3,0.666666666666667,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run105.rds,NA
1095,1,2,gauss,5.27092368379586,376.074601854309,0.230370156718444,0.112944712433648,272,0.6,0.147959183673469,1,0.5,0.666666666666667,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run105.rds,NA
1095,1,2,arima,4.23447800839654,2.96681437021293,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
1095,1,2,hs,2.69107498280283,0.866912245598952,0.0533334533585584,0.0910988147082567,0,0,0.0103626943005181,1,0.1,0.666666666666667,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1050.rds,NA
1095,1,2,gauss,2.83918620072615,5905.22172788782,0.22061087444344,0.175972588698313,167,0,0.176165803108808,1,0.9,0.666666666666667,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1050.rds,NA
1095,1,2,arima,3.45381634035397,2.82893080584572,NA,NA,NA,0,0,NA,NA,NA,NA,0.9,NA,NA
365,1,0,hs,3.45519774250329,2.13009610098995,0.124606830475459,0.159781912816273,0,0.333333333333333,0.0105820105820106,0.4,0.1,0,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1054.rds,NA
365,1,0,gauss,12.2052040455904,32969.3456441584,0.2280969174658,0.263518891223049,178,0.333333333333333,0.158730158730159,0.2,0.7,1,NA,0.9,Data/aquatic_sim_data/ARp_err_sims_04_22/simdat_run1054.rds,NA
