"","ArrayTaskID","numTrials","n","K","num_strong","prob_cycle","trend_fraction","freq","sigma","probWeakCorr","numStrongCorr","strongSelf","corrLevel","nameID","RMSEaic","RMSEstan","TPRaic","TNRaic","TPRstan","TNRstan"
"2530",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.704827155257564,0.895028314679973,1,0.711111111111111,0.714285714285714,0.976744186046512
"2531",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",1.23938662661806,0.889133879402432,1,0.333333333333333,0.833333333333333,0.954545454545455
"2532",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.769330604122476,0.891508011373094,1,0.244444444444444,0.833333333333333,0.931818181818182
"2533",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.691125481334575,0.852854922462422,1,0.777777777777778,0.833333333333333,1
"2534",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.700568954282516,0.925017991682324,1,0.733333333333333,0.714285714285714,0.976744186046512
"2535",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.807755779643367,0.810363522009505,1,0.644444444444444,0.714285714285714,0.930232558139535
"2536",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",1.20562016517809,1.1021153671016,1,0.377777777777778,0.375,0.952380952380952
"2537",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.742892055190626,0.91437511144391,0.8,0.444444444444444,0.666666666666667,0.954545454545455
"2538",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.644064771974868,0.871950112106889,1,0.733333333333333,0.75,1
"2539",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.885712950458198,0.915660566182058,1,0.555555555555556,0.5,0.976190476190476
"2540",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.760717252954791,0.909930982833545,1,0.644444444444444,0.857142857142857,0.976744186046512
"2541",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.877380600540656,1.11222705741998,1,0.755555555555556,0.444444444444444,1
"2542",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",1.0530485029953,0.987647399186728,1,0.466666666666667,0.444444444444444,0.951219512195122
"2543",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.621548564767494,0.769495222126797,0.8,0.666666666666667,0.571428571428571,0.906976744186046
"2544",51,50,100,50,5,0.5,0.5,1,0.5,0.5,1,TRUE,0.9,"ACPtrial51",0.580836278924807,0.765390194984519,1,0.8,0.833333333333333,0.977272727272727
